RegionID,SizeRank,RegionName,RegionType,StateName,4/30/08,5/31/08,6/30/08,7/31/08,8/31/08,9/30/08,10/31/08,11/30/08,12/31/08,1/31/09,2/28/09,3/31/09,4/30/09,5/31/09,6/30/09,7/31/09,8/31/09,9/30/09,10/31/09,11/30/09,12/31/09,1/31/10,2/28/10,3/31/10,4/30/10,5/31/10,6/30/10,7/31/10,8/31/10,9/30/10,10/31/10,11/30/10,12/31/10,1/31/11,2/28/11,3/31/11,4/30/11,5/31/11,6/30/11,7/31/11,8/31/11,9/30/11,10/31/11,11/30/11,12/31/11,1/31/12,2/29/12,3/31/12,4/30/12,5/31/12,6/30/12,7/31/12,8/31/12,9/30/12,10/31/12,11/30/12,12/31/12,1/31/13,2/28/13,3/31/13,4/30/13,5/31/13,6/30/13,7/31/13,8/31/13,9/30/13,10/31/13,11/30/13,12/31/13,1/31/14,2/28/14,3/31/14,4/30/14,5/31/14,6/30/14,7/31/14,8/31/14,9/30/14,10/31/14,11/30/14,12/31/14,1/31/15,2/28/15,3/31/15,4/30/15,5/31/15,6/30/15,7/31/15,8/31/15,9/30/15,10/31/15,11/30/15,12/31/15,1/31/16,2/29/16,3/31/16,4/30/16,5/31/16,6/30/16,7/31/16,8/31/16,9/30/16,10/31/16,11/30/16,12/31/16,1/31/17,2/28/17,3/31/17,4/30/17,5/31/17,6/30/17,7/31/17,8/31/17,9/30/17,10/31/17,11/30/17,12/31/17,1/31/18,2/28/18,3/31/18,4/30/18,5/31/18,6/30/18,7/31/18,8/31/18,9/30/18,10/31/18,11/30/18,12/31/18,1/31/19,2/28/19,3/31/19,4/30/19,5/31/19,6/30/19,7/31/19,8/31/19,9/30/19,10/31/19,11/30/19,12/31/19,1/31/20,2/29/20,3/31/20,4/30/20,5/31/20,6/30/20,7/31/20,8/31/20,9/30/20,10/31/20,11/30/20,12/31/20,1/31/21,2/28/21,3/31/21
394705,33,"Indianapolis, IN",Msa,IN,121292,125125,128567,131567,131400,127667,125417,120250,118417,110000,104333,102833,107833,118300,122633,127383,127583,127750,124917,121583,120250,115300,113050,114017,121717,129300,132225,131892,130225,129000,128333,127940,128273,122773,119717,115383,121200,122983,126983,129667,131667,130483,127150,124850,123250,121567,117200,118650,122667,131833,137833,139467,138950,131617,128817,126167,128833,125000,120567,118900,122900,130333,137167,142500,144467,140967,139800,135833,138500,132667,133195,129612,133945,136750,143333,149333,152750,151417,148083,145817,144817,140650,136667,138000,144167,153333,158667,162633,161300,158467,152467,149800,147633,144667,143500,144133,150467,157633,162000,165545,163545,163178,161300,160767,159467,155297,154830,156497,162333,168333,173300,176633,176300,173000,172360,171027,171027,168000,167967,170967,176300,183000,188667,191000,188500,184167,181583,182083,182750,181333,178300,178300,183633,191333,198983,203650,206058,201742,200042,196300,197300,192500,191167,196500,206333,216300,219467,223830,227863,230030,229000,227498,225782,222113,221282,222199
395059,34,"San Jose, CA",Msa,CA,750000,752000,747000,728667,696333,662500,632000,595667,564500,526667,514000,497333,510667,531667,568333,595000,595000,578333,565333,560333,564000,543667,530500,535167,556867,579700,583867,593833,594167,591667,589500,581167,569500,536833,523250,529542,546042,561292,573417,581750,580917,559500,541167,523667,512167,495500,489500,502333,539000,573333,606667,623333,629500,614500,604500,606667,611667,611125,612125,632125,673833,712833,737833,741667,733917,721583,714917,714333,706667,691667,689500,714500,754500,778333,791667,788333,786667,777917,778583,775583,767667,748667,749167,769167,804167,839167,862833,879333,876833,866500,851667,840000,833333,818333,813333,826667,878333,918333,925000,914417,891083,887833,883417,890083,885000,871500,868167,901500,942096,981929,993596,999833,991667,991167,1001167,1026167,1046667,1028333,1062667,1121000,1201000,1222667,1211000,1189333,1176833,1136833,1128500,1088333,1060833,1027833,1024500,1075333,1116667,1160000,1168333,1160083,1116970,1074303,1065220,1085000,1086000,1045000,1057500,1084167,1145667,1176667,1196333,1210333,1208500,1213833,1233333,1226667,1238333,1225000,1246667,1291833
394355,35,"Austin, TX",Msa,TX,189525,193888,197222,199652,200997,197330,193532,190865,189532,188000,187167,186833,190500,191667,197000,198167,196714,192231,189064,185517,188963,185797,188547,184583,189350,190933,197122,205855,209522,206667,199215,191866,192266,188717,192392,188503,191769,193444,198856,198256,198589,196067,196067,191733,190667,185667,186846,190180,199830,207950,214617,216467,215528,210528,205695,203333,205096,205621,206838,210075,219025,226808,231808,233000,230125,225292,221458,220333,221833,219750,223083,226417,235333,241063,247730,250730,253181,248347,245014,242167,244583,245583,245857,249032,258220,267956,273797,275276,272600,267000,262000,262667,267954,267954,267954,269500,278400,285067,290567,291667,291667,286333,284633,284633,289490,287856,287790,288267,296600,303833,310500,310537,305475,297141,291771,291333,296332,298469,300136,298471,305297,311963,320297,321667,323500,316833,313167,305500,306497,303495,302078,304415,312333,325583,332250,333667,330650,325650,324650,319967,321632,316632,320665,324000,331333,333083,337832,348282,357507,362758,366642,370000,374000,374000,389585,412941
395194,36,"Virginia Beach, VA",Msa,VA,224667,227085,232085,235960,240208,233542,228150,223400,223428,221945,218361,220000,223300,228300,232883,235250,237567,234067,228400,222717,219967,223300,225000,226483,223150,224783,229933,238133,241500,240598,234065,232148,232083,232083,227817,220483,220483,220500,227167,228500,231333,227958,219958,214958,214667,213750,211583,208550,215300,220800,229133,232967,235575,232275,229358,226750,225083,223000,219167,217500,219500,223333,232583,237583,242550,234967,229933,224967,223300,218333,213300,214633,221267,226600,233600,236267,237633,232600,227283,227283,227150,224833,221300,219800,224133,230667,235667,243817,245817,244150,235000,228733,228733,228067,228167,226500,233603,239020,246863,247933,249349,244839,242333,240000,240000,238000,237500,236133,240550,242717,251083,252967,254600,247600,244867,242367,243200,241600,243967,244800,247167,250667,256800,260800,258800,254333,251333,250000,248333,243300,243300,241633,248333,254000,262364,267364,266698,265000,260000,255000,253233,251567,252233,254000,262333,273317,281650,289950,293600,298267,298300,298833,295833,290833,286633,284967
394902,37,"Nashville, TN",Msa,TN,165702,169377,174012,176117,174775,171704,168300,166300,164667,163541,162541,161541,160667,162233,164867,167167,165600,161283,158017,156683,158367,157000,154983,154317,155205,159888,164730,171342,174975,173100,170267,164633,164589,163339,160672,157417,156333,159500,164733,171350,176183,171250,164300,159988,164188,164488,164133,159967,162712,167712,175878,182333,183799,179633,176133,174667,177300,173300,171633,168000,173567,178567,188383,193817,195450,190674,187507,185874,186167,182650,181067,180067,183417,188167,197500,202800,205775,200434,198134,197930,199938,198256,195793,196291,200639,208398,214567,219550,219317,219317,217000,217572,219238,219905,219333,219333,223333,230633,236300,243283,243290,242256,241696,241389,244089,243087,243420,245343,248589,255256,261250,265900,267567,265849,263740,264262,267375,268500,269310,268332,272223,275892,281892,287000,289500,282833,279167,275867,282500,282167,282963,282663,286130,292800,299458,304658,306292,303300,299967,298967,300167,298467,295013,296813,303480,307967,309933,315300,322633,325400,327033,326367,326967,322192,323859,327192
395005,38,"Providence, RI",Msa,RI,260456,258790,259667,261333,257833,250500,245333,238917,233917,224083,218300,217717,219383,221283,224533,227867,233333,230667,229000,223333,220000,218167,217833,217833,220583,220917,225917,230000,234817,233150,229817,225000,224967,221933,219933,217633,211667,213667,218417,224083,222875,218792,215763,211438,203172,199367,196567,198167,198333,203333,211650,219067,223217,216533,212283,208298,211632,205132,201633,199000,204333,212667,223650,231650,234950,229383,226017,220050,217300,217333,213333,213250,211583,218250,226833,233500,236833,231833,231833,228833,228667,227333,224667,224667,221000,228333,236667,246667,250833,249150,245817,239983,237167,237167,236600,238600,241600,247833,255333,263667,268833,265500,257500,255000,253333,251667,246667,246667,253333,258333,270000,275000,280000,276667,274083,274083,272050,266967,261967,264000,270000,276667,283667,290000,291667,289196,284529,282863,278333,274667,271333,274667,281333,294667,303000,311667,310000,309667,304333,304333,301275,301608,294942,300833,307500,320833,323205,328205,336538,344967,348300,343300,340583,337584,335917,338667
394862,39,"Milwaukee, WI",Msa,WI,184983,194000,195500,200167,202000,198833,192500,185667,182333,181917,182667,182667,184567,182967,186633,187250,189100,186250,180983,178317,175833,175667,174567,175900,176567,178667,180267,187933,194600,196167,191133,186133,180800,177500,175833,171667,168333,166500,173133,178800,180917,177617,173950,168300,166967,162600,156017,154017,158383,166833,175167,179833,186667,186667,181200,168033,158683,154250,154083,157600,163358,172692,180942,190083,194083,187500,179633,172967,170800,168333,165917,168917,170250,176833,182483,194067,200567,199750,194167,190167,188667,180967,173050,170717,179083,192333,202967,206217,210217,206583,207333,194333,190767,183417,182733,184300,189983,195000,200900,200867,205200,201967,200967,193633,184933,180633,174017,179550,183383,196900,206067,210900,214650,207483,203067,198083,195233,187983,182533,182356,195356,202472,215333,222000,228633,223967,215933,208967,202967,195667,189667,196667,207933,216933,218267,216000,218000,217000,212000,205667,200000,198500,196167,200500,210333,219333,223333,227200,236117,239033,235800,227933,224750,219450,215067,216333
394714,40,"Jacksonville, FL",Msa,FL,194000,195900,196900,198067,198500,198482,195648,191798,185817,182562,182784,182188,179443,177403,180667,183333,183333,176333,173601,169934,168851,167250,165917,168217,170883,172517,172300,169467,172500,172500,172000,171917,170583,168917,159333,157333,156508,161592,162408,164900,166017,165033,161700,157500,157333,154000,153667,150483,153817,158817,168333,173333,174046,167379,166863,165483,166338,168421,168254,170700,175467,182300,190667,194333,198333,197494,194160,190494,191333,193000,194964,199297,200964,207667,208933,213915,211582,207648,204333,203167,208133,204800,206967,204667,208077,210077,214077,217633,215300,210300,208333,211000,215333,214281,210647,208311,207530,212163,216900,223733,225067,222167,221333,220500,223300,220050,218048,217082,221165,227333,231667,236667,234333,233467,228800,230466,232999,235999,239333,241167,244500,245323,249490,252823,254333,251000,249590,251957,255622,252032,250663,249332,253665,254680,256347,261647,263967,262963,258404,255737,256707,254967,255300,256103,260769,263769,265667,271000,275525,277858,277858,279000,282313,280647,280417,282103
394849,41,"Memphis, TN",Msa,TN,140967,145772,147689,151705,152567,149650,143333,140667,139983,140317,137289,137889,139539,145233,147950,151621,150288,150321,145333,144000,141333,138000,135333,135000,137830,140797,142130,142600,145967,147633,147633,146200,142850,137383,132817,131167,134500,132833,135167,136917,140250,140250,137333,135667,134708,134692,129442,129300,133984,139234,142967,147717,149383,146083,137075,132242,129242,128800,129633,130967,134333,141650,149317,157233,159067,157567,151883,151400,148567,147000,140667,140833,141833,148500,154967,161633,161300,158000,151333,148333,144667,142633,143600,143933,149633,153333,161667,161967,162300,158300,156833,156167,153500,149333,145000,144967,148358,154458,164158,169392,170917,163917,161158,161033,161667,156175,150342,148992,155283,161617,169667,176000,177000,173667,168000,166317,164650,165617,158300,158383,160050,173383,181300,186833,183500,178833,174333,172633,170967,166633,167333,169000,175617,182283,192283,199833,198500,191833,184500,183500,184833,183000,182667,184000,194067,201067,208400,212000,215333,217333,218333,219000,217000,210000,202667,204333
394935,42,"Oklahoma City, OK",Msa,OK,120000,123333,126742,127409,128742,126333,125750,122750,121750,121667,123417,126083,124417,126000,126833,131333,130000,128500,125567,125233,124567,123119,122661,123661,125208,126667,129333,131167,131333,130667,129011,131178,130178,131667,129250,129250,127583,130500,133833,137500,136333,134000,133000,131983,132483,132150,132167,132000,132667,136667,138667,140667,141333,142000,143000,142833,142167,139833,138667,139333,141000,142167,144833,149500,151667,150000,146250,144583,145917,144633,144967,145633,149000,152500,155500,158833,158667,157667,157300,157300,158300,155333,155000,152333,153300,154967,160950,164983,166317,163333,161039,157789,156455,157067,156983,157317,158000,161167,163833,166500,167000,165667,164000,163000,163900,162733,163067,162667,164000,165667,168833,170333,170667,169333,166667,165233,165233,164567,164667,165000,168967,172300,172384,173417,172083,173833,173833,173500,172500,172750,176083,179583,183833,185500,191167,190500,192167,188667,188167,188133,188967,188208,188566,190066,194492,197167,200545,203545,208878,209322,209988,208322,207333,205000,205000,208333
